total,mask
143.006405285676,117.10901365635797
155.96943750744686,161.81383571619318
169.7939490074059,158.3261183351795
151.2620738373662,120.38494781658397
145.28582917468157,118.61498779633428
142.71963104780298,124.66712946019003
144.54438171334186,119.8721264826929
154.6892811524449,149.83417120700204
147.54351506824602,116.95981713512242
144.69681707998825,126.03360671449416
155.08294921484048,128.01256887938473
144.30568816469167,117.89511115787838
147.08591197856003,121.10379644387773
142.1434935820762,116.7645050517435
162.85463130815336,133.49821552305653
147.31188340542576,121.29280134411427
144.97736117604654,117.02407695928795
147.30128162543406,117.2417475391751
161.9168326151557,132.82940631166127
144.0081203977461,116.33549901682781
166.70304255622978,129.72681464009887
148.21467395941727,163.59813219544867
162.48627006545578,134.19334058011697
150.99172203168564,116.26344199306841
173.90466216448112,161.30928480243216
148.90015723308898,119.97790251325135
150.7377823474817,125.98372157720966
149.2875932669849,120.7429207096171
139.90394688773813,120.72254472181447
156.9810925712518,150.5853231114539
152.20342015589995,124.23581769340741
144.05217138465378,122.62056932421349
153.16524709119403,157.8832140774693
147.68646794452798,120.78844396647224
144.00923347696516,118.4552146601764
160.25717081893893,185.6763084543227
143.48709370273718,131.044175624828
159.19430878594358,145.1142082033059
158.2647371257189,131.76819943709975
152.24908220219368,119.42332556200489
144.33751141138782,119.999410115379
171.3766920735361,165.3107356954539
141.12469369846804,123.17592146464548
158.71207127769594,126.45385096959342
156.0733621042273,159.18183639788256
131.55993406598284,114.77367311356397
163.75338173746428,110.62425540141003
154.3440483953819,114.253690149866
147.23277233101547,116.04395292799508
150.57393864227924,115.80671117780372
164.66825287885877,164.67622256567535
152.2462832341989,132.12294898994924
148.0910900629824,118.83403706729153
140.96793170934325,117.98709897304381
149.92855175584555,112.83018112156509
149.64467403956223,124.08779512588215
155.58409813046455,122.70731145940321
160.67351418436738,126.8369809249968
148.1057773038774,112.65255324315072
156.19717895573197,124.46066504063836
150.75693418596347,114.6658578924773
152.6938056905055,121.45859008784697
148.25987996773983,117.77403915081409
149.32992099420517,117.20549264708495
146.52806821028207,114.93269289717686
151.6653492758196,119.20699961452868
167.07795250412892,151.0986071711414
165.6048318376706,157.19260616440073
160.29344737696374,150.20432443192436
170.0343566844822,156.97315061572266
138.8545213481848,124.61307150757389
144.38150536549801,118.10889562452104
161.081618760305,151.28440243679321
146.01113979832735,120.12004799159146
149.63818182764953,134.7888345075904
177.426176484114,150.36254588329527
132.63818806794006,119.23814424292522
161.74322646518704,138.9400255569529
168.59766307334942,143.5402856241835
157.85622269158924,130.77827197800897
143.84790923293622,120.13371383721949
147.4726870529703,121.07122597668814
161.6224095380603,112.50276759359505
150.54448482275987,120.5340028062832
163.1714985191866,148.60717169612613
147.8441493249702,112.97346679017599
143.90118462010287,116.85067161897246
154.90359951983555,125.79973463324738
139.1566590550501,112.62408652933827
136.18169826588564,119.26346849465709
138.38551658822686,111.85381662976738
150.8524422282353,117.12182919715438
144.9301834016369,121.55843349448597
140.98851620849018,122.2751086520892
151.0824455735274,116.42715233441673
150.02664231485687,116.50162335457344
146.9460967176492,118.72364936023025
146.50457501414348,119.68014152159792
144.7024030284956,118.0812610865791
147.5708201700836,116.47743587828914
160.9979493435676,114.94846245462031
138.9263399382471,117.57248107245732
141.5433601751538,120.21633150672265
134.0442258244584,115.57874072758605
163.4918317371885,137.05909011942245
134.54049423569813,120.43105158443093
151.31865686729725,119.04663308842437
146.94182566427844,119.35798714174886
144.24389727615198,120.00700036617101
140.19920398811155,116.0084669561312
142.32238621096985,115.57595222383047
143.8069429568277,119.9515910063332
139.72130757884588,114.39786517248945
145.5502500718212,118.17157393331867
171.48445570599887,151.2039434523052
135.38685204295325,116.73860134495861
190.36377651115254,165.7575806057399
160.7171972062788,176.3903117807558
131.05913635000616,117.36469488914754
151.24563157971716,124.84974325846993
177.25370745720653,154.66642594762777
178.2451145794039,162.62802109057907
156.32349671472912,150.71670588576762
172.85846514420706,152.9970543005616
145.15255478397376,134.44089936171866
137.59036980737073,119.21478233203045
127.86288721621531,119.5924518033748
145.40797874843702,119.71144446319266
147.78202943403085,118.23869654298363
181.30994298969745,177.34653810487632
149.56818317049328,119.53349387927574
164.47571381344457,162.29955309053625
150.61013673808338,115.8748507878796
162.67193342358948,154.63783284567816
181.96093997494253,155.2091312995862
151.19197276741394,118.5870323441058
146.0654329310637,110.34068889003814
149.30568684202444,126.14972650380302
148.65205787295054,118.0258719287413
152.85516226460456,111.91666818771411
150.23419602400097,126.55917891054047
149.09101701520558,121.93965376005237
172.16409092032703,146.19156532259342
144.32056369719794,116.5544436263507
134.78231792605948,118.80596468991104
136.25958425288263,121.4866518207906
139.41672625829597,116.0763558462924
150.24927610204395,117.06443912431143
131.40478140339474,117.18026485517389
144.46276726864016,118.31565089276883
147.7655419393268,114.88073826867534
149.1486050543317,117.2642122161236
134.66832554977736,125.7904075475184
189.8238205394009,187.3168452149738
170.21280198654858,162.8638925911891
159.74152806948402,169.0256917851554
148.80414877,121.36516287
181.54093201,178.8839522
170.93344476,162.97955434
148.25005498,121.3570546
137.55644792,116.83662342
150.13741166,119.55218367
176.70712052,165.56705512
149.96976869,119.40733098
151.58990613,117.70343874
158.84606465,124.60837065
145.41096441,136.08874225
167.56949934,157.82031805
147.19581395,116.64567674
141.1849098,120.12553996
153.71842781,117.10664641
151.07729671,116.00077154
152.18815772,116.77401268
